id_credito,regla,motivo
(fila_69),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_105),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_138),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_188),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_237),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_243),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_256),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_323),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_392),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_409),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_429),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_469),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_494),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_509),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_658),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_680),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_730),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_734),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_779),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_797),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_915),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_967),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_992),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1008),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1034),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1190),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1296),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1339),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1392),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1471),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1494),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1524),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1538),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1573),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1599),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1642),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1711),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1786),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1864),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_1994),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2010),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2034),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2140),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2157),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2177),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2252),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2336),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2477),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2597),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2614),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2621),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2637),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2654),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2668),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2737),nulo_id_credito,El campo id_credito esta vacio o es nulo
(fila_2742),nulo_id_credito,El campo id_credito esta vacio o es nulo
